,CONTRACT_KEY,CONSUMPTION_VAR
605,142779423,174.362837578
606,142779457,44.2537884242
607,142779484,0.893639489779
608,142779643,196.477229303
609,142779661,74.6312791445
610,142779878,46.7985020794
611,142779904,
612,142779936,28.5330647358
613,142779966,84.3477779199
614,142780069,112.468684319
615,142780079,11.1378932063
616,142780085,52.7291771903
617,142780186,91.0856179738
618,142780335,9.50957776859
619,142780365,21.3971605497
620,142780403,27.6989044267
621,142780424,19.3621471721
622,142780435,18.2727733859
623,142780528,9.735647348
624,142780543,69.1188601388
625,142780713,4.01220659655
626,142780795,140.59261885
627,142780828,50.1062713345
628,142780835,65.7584194163
629,142780854,17.9309260556
630,142780905,11.8046948194
631,142780929,145.789621444
632,142780951,139.978989498
633,142780962,9.63045585461
634,142780971,65.8023168237
635,142780998,163.198130591
636,142781100,8.96220819394
637,142781180,57.7798516583
638,142781229,0.0760252875158
639,142781285,78.731218338
640,142781321,146.503795097
641,142781327,28.1058547528
642,142781343,70.3528123412
643,142781349,4.29613008973
644,142781420,32.2015368679
645,142781432,33.0744949912
646,142781454,8.2290177488
647,142781455,0.582536789329
648,142781473,89.1602982155
649,142781521,0.555011433563
650,142781526,3.11760261939
651,142781527,45.7916002556
652,142781531,30.0792783087
653,142781542,182.977997576
654,142781570,0.114164569771
655,142781611,4.08394654529
656,142781672,151.395129927
657,142781674,30.1928988961
658,142781713,7.01711293098
659,142781723,16.0475864598
660,142781766,19.8854404877
661,142781823,45.818877807
662,142781843,31.947401564
663,142781847,7.31306350674
664,142781912,59.7551958704
665,142781922,42.1002103257
666,142781963,36.6365151361
667,142781988,48.200200526
668,142781999,148.052549233
669,142782002,
670,142782017,1.73689538874
671,142782034,296.478412135
672,142782087,3.81745597092
673,142782122,26.4614725541
674,142782131,507.914329903
675,142782170,105.799022458
676,142782179,178.816124272
677,142782265,54.1974454445
678,142782296,44.8990070051
679,142782351,36.0533196899
680,142782354,0.0883447932018
681,142782387,97.5909324976
682,142782422,27.2102047507
683,142782449,1269.77133584
684,142782461,8.76815003391
685,142782530,4.33595811681
686,142782543,196.350759357
687,142782550,
688,142782578,173.742147918
689,142782634,17.7448061656
690,142782646,58.6318305626
691,142782664,251.557283356
692,142782671,49.0139050469
693,142782677,22.134700343
694,142782777,131.280764142
695,142782813,668.535509973
696,142782828,0.57884580601
697,142782843,0.0759587362603
698,142782877,26.9650191285
699,142782906,23.6347952854
700,142782933,42.9973706963
701,142783023,118.901474877
702,142783027,87.2790570072
703,142783047,153.591689341
704,142783050,801.052776759
705,142783059,114.587506265
706,142783063,11.5535280857
707,142783107,64.1505418411
708,142783111,27.2607321427
709,142783214,218.125867385
710,142783219,32.5748228746
711,142783232,107.690036909
712,142783240,87.8371004346
713,142783284,62.2837315225
714,142783288,91.6193944638
715,142783294,67.4766910804
716,142783309,
717,142783315,79.8733265382
718,142783322,152.708800973
719,142783328,101.613690411
720,142783335,194.72940647
721,142783365,110.001304034
722,142783378,70.0596320106
723,142783389,137.389409682
724,142783424,60.0291856711
725,142783444,101.192833374
726,142783447,96.6955502863
727,142783450,69.7938020111
728,142783460,47.2528714227
729,142783488,241.23395897
730,142783503,0.36972059543
731,142783542,118.460508079
732,142783547,47.2815087835
733,142783549,29.3239927241
734,142783574,230.753816666
735,142783627,95.1101859543
736,142783720,67.6761324903
737,142784044,10.5245311375
738,142784058,2.85073891499
739,142784091,57.7494998689
740,142784107,278.847187263
741,142784188,11.6500852272
742,142784189,
743,142784262,230.707813318
744,142784275,48.6297812002
745,142784278,
746,142784291,48.0140562011
747,142784302,
748,142784336,107.438809881
749,142784433,22.5314531341
750,142784440,36.1744203965
751,142784499,28.2119663429
752,142784577,5.7032513423
753,142784588,7.55666083556
754,142784662,201.433229694
755,142784788,824.827070897
756,142784881,24.1910444176
757,142784930,150.400011052
758,142784961,418.212336143
759,142785011,402.484158725
760,142785087,22.738913872
761,142785140,37.915022886
762,142785273,112.043042195
763,142785301,56.0022807156
764,142785315,98.7577578278
765,142785328,416.932998363
766,142785339,47.9145054024
767,142785420,42.2589136205
768,142785475,0.544204148097
769,142785552,38.9988602629
770,142785557,157.745937631
771,142785603,6.4518328552
772,142785611,40.7611143158
773,142785627,182.497470148
774,142785657,288.096390781
775,142785670,45.9652362353
776,142785763,67.7770174014
777,142785766,59.4687556367
778,142785767,21.2878964476
779,142785798,103.458617767
780,142785941,291.270325375
781,142785960,55.5379676495
782,142785964,20.6006496553
783,142785969,23.8244673078
784,142785980,8.76520478568
785,142786005,60.4922832385
786,142786023,279.96045309
787,142786031,20.9743664833
788,142786049,62.6054020474
789,142786068,15.2405382809
790,142786131,68.3984273656
791,142786142,30.8586388435
792,142786143,48.5670297966
793,142786245,302.16915706
794,142786338,39.968161367
795,142786411,6.971783654
796,142786415,28.1373983615
797,142786449,27.766969193
798,142786471,256.726766727
799,142786487,117.838440781
800,142786577,68.7137339971
801,142786647,41.2462198001
802,142786693,26.6121339002
803,142786706,81.0607045802
804,142786778,29.734669918
805,142786858,21.1830841265
806,142786889,17.8524635699
807,142786903,151.325604377
808,142787052,2.54102262546
809,142787091,15.6616889921
810,142787114,9.74466767089
811,142787144,7.5600487806
812,142787151,198.88627469
813,142787165,8.55358421878
814,142787166,7.77129790798
815,142787238,65.5684232879
816,142787293,70.7112643121
817,142787296,188.871215004
818,142787343,6.56385834145
819,142787437,261.593209492
820,142787452,280.220783732
821,142787470,134.074837415
822,142787508,22.895896224
823,142787571,1232.37908814
824,142787602,24.4986308267
825,142787608,680.609345059
826,142787609,56.6945285146
827,142787618,182.367301146
828,142787677,164.403993406
829,142787679,202.58240993
830,142787701,277.327611435
831,142787718,1.3729053743
832,142787721,107.284303586
833,142787732,256.226889417
834,142787735,116.481154642
835,142787751,64.6905557744
836,142787770,10.7148916557
837,142787772,32.7146781706
838,142787828,32.4067637613
839,142787841,42.0291864012
840,142787845,38.177059411
841,142787855,136.464386977
842,142787870,63.9527293683
843,142787879,2.20576175595
844,142787887,228.711139773
845,142788141,3.07473642076
846,142788179,1.61929016376
847,142788228,19.849160782
848,142788247,44.4444343545
849,142788509,59.1331624842
850,142788521,37.0309735687
851,142788553,63.1958561927
852,142788569,207.21290973
853,142788630,68.3637315944
854,142788752,25.3635109134
855,142788801,468.245248226
856,142789002,110.715154765
857,142789178,11.2549110805
858,142789269,1.05363204326
859,142789314,52.9528058417
860,142789340,157.039132423
861,142789437,0.0918299294919
862,142789630,63.6467866102
863,142789816,166.810552278
